src_ip,dest_ip,timestamp,src_port,dest_port,proto
200.51.43.5,192.168.1.239,2024-05-07T23:01:09.620595+0200,53,3994,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:09.621938+0200,53,2566,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:09.621951+0200,53,1139,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:09.650278+0200,53,2902,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:09.652654+0200,53,3429,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:09.808800+0200,53,2529,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:09.826079+0200,53,1028,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:09.828950+0200,53,3476,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:09.925892+0200,53,3663,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:09.927278+0200,53,3669,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:09.952253+0200,53,3657,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:09.953654+0200,53,1025,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:10.211954+0200,53,3666,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:10.231711+0200,53,1031,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:10.231728+0200,53,3664,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:10.279978+0200,53,4510,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:10.279971+0200,53,4507,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:10.291491+0200,53,3665,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:10.295570+0200,53,1028,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:10.295589+0200,53,4508,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:10.298393+0200,53,4506,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:10.298448+0200,53,4509,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:10.308329+0200,53,3664,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:10.312576+0200,53,3667,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:10.312631+0200,53,3009,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:10.326422+0200,53,2899,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:10.326444+0200,53,3369,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:10.349751+0200,53,1028,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:10.353603+0200,53,1107,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:10.353653+0200,53,2902,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:10.369363+0200,53,3665,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:10.389575+0200,53,1028,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:10.392476+0200,53,2564,UDP
